date,ville,latitude,longitude,T_min,T_max,pluie_mm,vent_kmh,ensoleillement_h,mois,type_plante,stade,humidite_sol,temperature_sol,N,P,K,kc,ET0,superficie_ha,eau_litres,eau_mm,saison,amplitude_thermique,fertilite_sol,type_culture
2019-01-02,Agadir,30.427,-9.598,12.6,19.2,0.0,16.9,9.75,1,Oranger,jeune,26.5,15.8,176.5,96.8,121.7,0.7,0.03,41.93,8386.0,0.02,hiver,6.6,395.0,arbre
2019-01-03,Agadir,30.427,-9.598,11.4,18.5,0.0,14.8,9.76,1,Citronnier,mature,36.1,16.1,112.1,9.7,98.5,0.75,0.03,20.32,4064.0,0.02,hiver,7.1,220.3,arbre
2019-01-07,Agadir,30.427,-9.598,12.5,19.6,0.0,17.1,9.81,1,Oranger,fin,24.6,18.3,92.7,0.9,103.6,0.7,0.02,32.83,3283.0,0.01,hiver,7.1,197.2,arbre
2019-01-08,Agadir,30.427,-9.598,13.0,19.4,0.0,15.1,9.32,1,Citronnier,mature,37.3,16.4,158.2,25.3,138.3,0.75,0.02,18.19,3638.0,0.02,hiver,6.4,321.8,arbre
2019-01-12,Agadir,30.427,-9.598,11.0,21.8,0.0,16.6,9.89,1,Oranger,fin,18.6,18.6,177.0,96.9,131.5,0.7,0.03,27.04,5408.0,0.02,hiver,10.8,405.4,arbre
2019-01-13,Agadir,30.427,-9.598,13.8,20.2,0.0,21.9,9.9,1,Citronnier,mature,51.4,14.6,155.7,72.7,60.7,0.75,0.02,38.8,7760.0,0.02,hiver,6.4,289.1,arbre
2019-01-17,Agadir,30.427,-9.598,9.8,17.8,0.0,21.6,9.95,1,Oranger,jeune,52.7,11.6,168.7,66.9,36.8,0.7,0.02,23.65,2365.0,0.01,hiver,8.0,272.4,arbre
2019-01-18,Agadir,30.427,-9.598,11.7,19.3,0.0,21.3,9.97,1,Citronnier,fin,45.8,12.5,3.1,72.6,37.6,0.7,0.02,18.01,1801.0,0.01,hiver,7.6,113.29999999999998,arbre
2019-01-22,Agadir,30.427,-9.598,10.4,17.6,0.0,14.5,10.0,1,Oranger,jeune,24.2,16.2,129.4,47.8,71.9,0.7,0.03,26.75,5350.0,0.02,hiver,7.2,249.1,arbre
2019-01-23,Agadir,30.427,-9.598,11.1,21.9,0.0,20.0,10.0,1,Citronnier,mature,46.0,17.8,191.5,9.1,127.0,0.75,0.03,29.17,5834.0,0.02,hiver,10.8,327.6,arbre
2019-01-27,Agadir,30.427,-9.598,12.5,18.6,0.0,19.6,10.0,1,Oranger,mature,21.1,12.8,187.7,45.3,123.2,0.75,0.02,13.77,2754.0,0.02,hiver,6.1,356.2,arbre
2019-01-28,Agadir,30.427,-9.598,10.7,18.1,0.0,11.7,10.0,1,Citronnier,fin,58.8,12.9,198.1,6.3,1.8,0.7,0.03,33.07,6614.0,0.02,hiver,7.4,206.2,arbre
2019-02-01,Agadir,30.427,-9.598,11.5,17.8,0.2,24.3,8.05,2,Oranger,mature,32.8,12.3,119.2,47.6,143.2,0.75,0.01,33.66,0.0,0.0,hiver,6.3,310.0,arbre
2019-02-02,Agadir,30.427,-9.598,11.2,23.4,0.0,21.9,10.09,2,Citronnier,mature,35.1,14.6,99.2,25.2,137.3,0.75,0.02,45.78,9156.0,0.02,hiver,12.2,261.70000000000005,arbre
2019-02-06,Agadir,30.427,-9.598,13.5,20.1,0.0,16.7,9.78,2,Oranger,mature,56.0,18.4,172.5,42.1,45.4,0.75,0.02,47.42,9484.0,0.02,hiver,6.6,260.0,arbre
2019-02-07,Agadir,30.427,-9.598,11.5,18.4,0.0,17.5,10.06,2,Citronnier,mature,19.5,12.8,26.3,28.8,62.2,0.75,0.02,46.64,9328.0,0.02,hiver,6.9,117.3,arbre
2019-02-11,Agadir,30.427,-9.598,16.8,24.2,0.0,17.5,10.19,2,Oranger,fin,42.5,20.3,105.4,99.7,11.7,0.7,0.02,44.99,4499.0,0.01,hiver,7.4,216.8,arbre
2019-02-12,Agadir,30.427,-9.598,14.8,23.2,0.0,15.6,10.26,2,Citronnier,mature,23.1,18.4,118.6,14.7,35.1,0.75,0.02,18.28,3656.0,0.02,hiver,8.4,168.39999999999998,arbre
2019-02-16,Agadir,30.427,-9.598,17.0,23.4,1.1,38.2,5.82,2,Oranger,mature,17.6,21.2,36.9,89.3,35.9,0.75,0.01,18.73,0.0,0.0,hiver,6.4,162.1,arbre
2019-02-17,Agadir,30.427,-9.598,14.7,22.8,0.0,18.9,9.7,2,Citronnier,jeune,40.2,18.9,25.3,4.1,15.6,0.7,0.01,29.75,2975.0,0.01,hiver,8.1,45.0,arbre
2019-02-21,Agadir,30.427,-9.598,12.3,24.6,0.0,19.6,10.49,2,Oranger,jeune,40.6,16.9,106.1,24.3,98.9,0.7,0.01,42.72,4272.0,0.01,hiver,12.3,229.3,arbre
2019-02-22,Agadir,30.427,-9.598,17.6,28.4,0.0,23.4,10.32,2,Citronnier,jeune,16.2,25.8,24.5,66.9,32.6,0.7,0.01,37.69,3769.0,0.01,hiver,10.8,124.0,arbre
2019-02-26,Agadir,30.427,-9.598,17.8,25.1,0.0,19.9,10.84,2,Oranger,fin,41.0,23.0,30.6,68.9,137.7,0.7,0.01,37.35,3735.0,0.01,hiver,7.3,237.2,arbre
