date,ville,latitude,longitude,T_min,T_max,pluie_mm,vent_kmh,ensoleillement_h,mois,type_plante,stade,humidite_sol,temperature_sol,N,P,K,kc,ET0,superficie_ha,eau_litres,eau_mm
2019-01-01,Agadir,30.427,-9.598,13.3,21.5,0.0,17.5,9.05,1,Tomate,mature,51.6,16.2,28.6,27.0,13.2,1.15,0.03,14.36,4308.0,0.03
2019-01-02,Agadir,30.427,-9.598,12.6,19.2,0.0,16.9,9.75,1,Oranger,jeune,26.5,15.8,176.5,96.8,121.7,0.7,0.03,41.93,8386.0,0.02
2019-01-03,Agadir,30.427,-9.598,11.4,18.5,0.0,14.8,9.76,1,Citronnier,mature,36.1,16.1,112.1,9.7,98.5,0.75,0.03,20.32,4064.0,0.02
2019-01-04,Agadir,30.427,-9.598,11.1,20.4,0.0,10.7,9.78,1,Laitue,fin,18.9,18.3,27.0,9.7,68.8,0.95,0.02,30.0,6000.0,0.02
2019-01-05,Agadir,30.427,-9.598,12.4,20.9,0.0,18.5,9.79,1,Oignon,fin,55.5,19.2,104.3,79.3,119.8,0.75,0.03,45.21,9042.0,0.02
2019-01-06,Agadir,30.427,-9.598,14.0,21.5,0.0,18.9,9.8,1,Tomate,mature,39.3,20.1,191.4,39.2,135.9,1.15,0.03,16.7,5010.0,0.03
2019-01-07,Agadir,30.427,-9.598,12.5,19.6,0.0,17.1,9.81,1,Oranger,fin,24.6,18.3,92.7,0.9,103.6,0.7,0.02,32.83,3283.0,0.01
2019-01-08,Agadir,30.427,-9.598,13.0,19.4,0.0,15.1,9.32,1,Citronnier,mature,37.3,16.4,158.2,25.3,138.3,0.75,0.02,18.19,3638.0,0.02
2019-01-09,Agadir,30.427,-9.598,11.5,19.5,0.0,14.7,9.84,1,Laitue,fin,31.6,15.7,146.5,65.0,119.8,0.95,0.02,43.32,8664.0,0.02
2019-01-10,Agadir,30.427,-9.598,9.8,17.1,0.0,16.5,9.86,1,Oignon,mature,55.9,15.1,10.1,88.0,69.3,1.05,0.02,31.16,6232.0,0.02
2019-01-11,Agadir,30.427,-9.598,9.8,17.1,0.0,15.9,9.87,1,Tomate,jeune,46.4,14.7,164.5,39.6,60.0,0.6,0.02,12.03,1203.0,0.01
2019-01-12,Agadir,30.427,-9.598,11.0,21.8,0.0,16.6,9.89,1,Oranger,fin,18.6,18.6,177.0,96.9,131.5,0.7,0.03,27.04,5408.0,0.02
2019-01-13,Agadir,30.427,-9.598,13.8,20.2,0.0,21.9,9.9,1,Citronnier,mature,51.4,14.6,155.7,72.7,60.7,0.75,0.02,38.8,7760.0,0.02
2019-01-14,Agadir,30.427,-9.598,12.8,18.9,0.0,14.6,9.91,1,Laitue,jeune,37.0,16.8,30.8,85.3,81.8,0.7,0.02,27.68,2768.0,0.01
2019-01-15,Agadir,30.427,-9.598,11.3,17.9,0.0,18.2,9.93,1,Oignon,mature,19.6,16.8,19.5,64.9,60.3,1.05,0.02,25.15,5030.0,0.02
2019-01-16,Agadir,30.427,-9.598,10.3,18.5,0.0,22.6,9.94,1,Tomate,mature,39.4,14.0,114.5,36.9,49.5,1.15,0.02,2.55,510.0,0.02
2019-01-17,Agadir,30.427,-9.598,9.8,17.8,0.0,21.6,9.95,1,Oranger,jeune,52.7,11.6,168.7,66.9,36.8,0.7,0.02,23.65,2365.0,0.01
2019-01-18,Agadir,30.427,-9.598,11.7,19.3,0.0,21.3,9.97,1,Citronnier,fin,45.8,12.5,3.1,72.6,37.6,0.7,0.02,18.01,1801.0,0.01
