date,region,latitude,longitude,temperature,humidite_air,precipitations,rayonnement,vitesse_vent,evapotranspiration,humidite_sol,type_sol,type_plante,stade_croissance,besoin_eau_annuel_mm,besoin_eau_journalier_mm
2019-01-01,tanger_tetouan_al_hoceima,35.77,-5.8,14.84,79.27,0.0,11.02,2.97,1.0,29.7,limoneux,tomate,germination,600,0.6
2019-01-02,tanger_tetouan_al_hoceima,35.77,-5.8,14.43,74.75,0.0,11.83,2.96,1.17,20.2,calcaire,poivron,germination,550,0.7
2019-01-03,tanger_tetouan_al_hoceima,35.77,-5.8,14.21,80.52,0.01,10.16,3.53,0.71,20.6,argileux,agrume,repos,1000,0.52
2019-01-04,tanger_tetouan_al_hoceima,35.77,-5.8,14.02,75.65,0.0,11.06,5.1,1.06,26.9,calcaire,poivron,germination,550,0.64
2019-01-05,tanger_tetouan_al_hoceima,35.77,-5.8,13.36,77.52,0.0,12.09,3.51,0.86,42.0,sableux,vigne,maturité,400,0.39
2019-01-06,tanger_tetouan_al_hoceima,35.77,-5.8,13.69,66.86,0.0,12.42,2.47,0.99,56.9,sableux,courgette,germination,500,0.49
2019-01-07,tanger_tetouan_al_hoceima,35.77,-5.8,13.37,69.82,0.0,12.24,2.71,0.91,27.9,sableux,courgette,floraison,500,0.91
2019-01-08,tanger_tetouan_al_hoceima,35.77,-5.8,13.48,77.74,0.0,11.64,3.72,0.71,37.8,argileux,courgette,germination,500,0.35
2019-01-09,tanger_tetouan_al_hoceima,35.77,-5.8,13.76,70.17,0.0,12.33,2.8,1.05,30.9,calcaire,courgette,floraison,500,1.05
2019-01-10,tanger_tetouan_al_hoceima,35.77,-5.8,14.19,73.24,0.0,11.53,2.8,0.91,22.5,calcaire,tomate,maturité,600,0.73
2019-01-11,tanger_tetouan_al_hoceima,35.77,-5.8,13.39,74.25,0.0,11.11,4.18,0.87,32.6,calcaire,agrume,repos,1000,0.65
2019-01-12,tanger_tetouan_al_hoceima,35.77,-5.8,13.07,67.63,0.0,12.78,6.03,0.99,26.5,calcaire,vigne,floraison,400,0.84
2019-01-13,tanger_tetouan_al_hoceima,35.77,-5.8,13.84,66.25,0.0,12.93,2.96,0.93,61.4,sableux,tomate,germination,600,0.56
2019-01-14,tanger_tetouan_al_hoceima,35.77,-5.8,13.47,71.53,0.0,13.01,3.16,0.95,37.8,argileux,tomate,croissance,600,0.71
2019-01-15,tanger_tetouan_al_hoceima,35.77,-5.8,13.94,76.45,0.0,12.64,2.95,0.76,37.2,sableux,agrume,fructification,1000,0.53
2019-01-16,tanger_tetouan_al_hoceima,35.77,-5.8,13.62,74.73,0.41,10.01,2.49,0.69,51.5,argileux,poivron,floraison,550,0.31
2019-01-17,tanger_tetouan_al_hoceima,35.77,-5.8,13.31,77.96,2.76,8.33,2.57,0.48,42.7,sableux,poivron,croissance,550,0.0
2019-01-18,tanger_tetouan_al_hoceima,35.77,-5.8,12.82,65.02,0.08,8.18,2.84,0.79,65.6,limoneux,courgette,croissance,500,0.51
2019-01-19,tanger_tetouan_al_hoceima,35.77,-5.8,14.04,87.26,15.42,5.01,5.03,0.24,63.3,argileux,tomate,croissance,600,0.0
2019-01-20,tanger_tetouan_al_hoceima,35.77,-5.8,14.4,80.0,3.15,7.8,5.93,0.97,27.7,argileux,agrume,fructification,1000,0.0
2019-01-21,tanger_tetouan_al_hoceima,35.77,-5.8,12.85,68.13,0.0,12.43,2.88,1.35,54.3,sableux,vigne,floraison,400,1.15
2019-01-22,tanger_tetouan_al_hoceima,35.77,-5.8,12.67,71.25,0.36,8.73,4.62,0.77,30.9,sableux,agrume,maturité,1000,0.18
2019-01-23,tanger_tetouan_al_hoceima,35.77,-5.8,13.87,79.99,0.39,7.92,6.95,0.85,40.7,calcaire,poivron,floraison,550,0.5
2019-01-24,tanger_tetouan_al_hoceima,35.77,-5.8,14.71,82.33,0.02,7.88,4.39,1.05,28.2,limoneux,vigne,maturité,400,0.45
2019-01-25,tanger_tetouan_al_hoceima,35.77,-5.8,15.65,76.59,0.0,13.69,1.7,1.45,60.3,argileux,poivron,maturité,550,1.23
2019-01-26,tanger_tetouan_al_hoceima,35.77,-5.8,14.64,77.31,0.0,11.97,1.43,1.29,62.5,sableux,tomate,croissance,600,0.97
2019-01-27,tanger_tetouan_al_hoceima,35.77,-5.8,13.68,83.25,0.01,10.09,4.52,0.95,37.9,argilo-limoneux,agrume,repos,1000,0.7
2019-01-28,tanger_tetouan_al_hoceima,35.77,-5.8,12.63,79.1,0.0,12.04,4.72,0.79,66.6,calcaire,agrume,fructification,1000,0.55
2019-01-29,tanger_tetouan_al_hoceima,35.77,-5.8,13.91,84.28,0.67,7.93,4.93,0.64,60.1,calcaire,tomate,germination,600,0.0
2019-01-30,tanger_tetouan_al_hoceima,35.77,-5.8,14.45,87.65,4.43,5.47,4.75,0.28,41.1,limoneux,courgette,germination,500,0.0
2019-01-31,tanger_tetouan_al_hoceima,35.77,-5.8,15.02,86.59,4.02,6.75,5.97,0.67,73.3,limoneux,agrume,repos,1000,0.0
2019-02-01,tanger_tetouan_al_hoceima,35.77,-5.8,14.84,77.69,27.71,6.08,8.65,1.16,65.5,limoneux,poivron,germination,550,0.0
2019-02-02,tanger_tetouan_al_hoceima,35.77,-5.8,12.42,67.6,0.94,12.81,6.62,1.39,37.4,sableux,vigne,débourrement,400,0.03
2019-02-03,tanger_tetouan_al_hoceima,35.77,-5.8,11.05,62.77,0.0,15.63,3.12,1.18,34.4,calcaire,poivron,germination,550,0.71
2019-02-04,tanger_tetouan_al_hoceima,35.77,-5.8,12.75,55.46,0.0,15.88,2.67,1.37,67.7,limoneux,tomate,germination,600,0.82
2019-02-05,tanger_tetouan_al_hoceima,35.77,-5.8,14.03,64.18,0.0,15.6,1.57,1.29,29.5,argileux,courgette,croissance,500,0.97
2019-02-06,tanger_tetouan_al_hoceima,35.77,-5.8,13.95,75.2,0.0,15.22,2.02,0.51,58.9,argileux,vigne,repos,400,0.15
2019-02-07,tanger_tetouan_al_hoceima,35.77,-5.8,14.18,78.01,0.0,14.62,2.3,1.39,54.6,sableux,tomate,croissance,600,1.04
2019-02-08,tanger_tetouan_al_hoceima,35.77,-5.8,13.64,71.37,0.0,15.03,1.82,1.49,46.7,limoneux,vigne,débourrement,400,1.04
2019-02-09,tanger_tetouan_al_hoceima,35.77,-5.8,13.37,76.97,0.0,15.55,2.25,1.3,70.7,sableux,vigne,maturité,400,0.59
2019-02-10,tanger_tetouan_al_hoceima,35.77,-5.8,13.36,81.02,0.0,15.67,3.07,0.96,74.7,argilo-limoneux,poivron,floraison,550,1.01
2019-02-11,tanger_tetouan_al_hoceima,35.77,-5.8,14.42,89.2,0.0,13.46,2.42,1.29,42.1,calcaire,courgette,maturité,500,1.03
2019-02-12,tanger_tetouan_al_hoceima,35.77,-5.8,14.41,85.74,0.01,13.39,5.96,1.0,35.3,argileux,poivron,croissance,550,0.74
2019-02-13,tanger_tetouan_al_hoceima,35.77,-5.8,14.23,78.2,0.0,13.43,6.84,1.14,28.2,calcaire,vigne,débourrement,400,0.8
2019-02-14,tanger_tetouan_al_hoceima,35.77,-5.8,14.22,81.49,0.0,13.13,6.98,0.98,19.0,sableux,tomate,germination,600,0.59
2019-02-15,tanger_tetouan_al_hoceima,35.77,-5.8,14.05,83.87,0.02,12.29,7.26,0.81,45.8,argileux,tomate,floraison,600,0.91
2019-02-16,tanger_tetouan_al_hoceima,35.77,-5.8,14.38,82.97,0.01,10.61,7.35,0.63,47.4,sableux,courgette,maturité,500,0.49
2019-02-17,tanger_tetouan_al_hoceima,35.77,-5.8,14.2,85.92,0.01,14.12,5.0,0.9,62.1,sableux,vigne,maturité,400,0.4
2019-02-18,tanger_tetouan_al_hoceima,35.77,-5.8,13.62,88.46,2.1,8.35,3.5,0.19,20.8,argileux,agrume,floraison,1000,0.0
2019-02-19,tanger_tetouan_al_hoceima,35.77,-5.8,14.08,77.1,0.51,12.83,2.49,1.01,39.7,argilo-limoneux,agrume,fructification,1000,0.2
2019-02-20,tanger_tetouan_al_hoceima,35.77,-5.8,13.8,82.39,0.0,13.87,5.23,0.95,39.2,argileux,tomate,germination,600,0.57
2019-02-21,tanger_tetouan_al_hoceima,35.77,-5.8,13.99,82.9,0.0,13.12,6.67,0.92,26.5,sableux,courgette,germination,500,0.46
2019-02-22,tanger_tetouan_al_hoceima,35.77,-5.8,13.77,83.8,0.0,15.61,5.46,0.91,40.3,sableux,vigne,maturité,400,0.41
2019-02-23,tanger_tetouan_al_hoceima,35.77,-5.8,15.56,67.11,0.0,16.82,2.02,1.75,67.5,sableux,courgette,maturité,500,1.4
2019-02-24,tanger_tetouan_al_hoceima,35.77,-5.8,14.39,80.39,0.0,17.77,5.08,0.88,20.9,calcaire,tomate,maturité,600,0.7
2019-02-25,tanger_tetouan_al_hoceima,35.77,-5.8,14.28,75.85,0.0,19.02,8.11,1.12,70.6,argileux,vigne,repos,400,0.34
2019-02-26,tanger_tetouan_al_hoceima,35.77,-5.8,14.4,75.47,0.0,18.11,7.05,1.16,44.1,argilo-limoneux,poivron,croissance,550,0.87
2019-02-27,tanger_tetouan_al_hoceima,35.77,-5.8,14.89,70.56,0.0,19.55,4.08,1.56,24.9,argileux,poivron,maturité,550,1.33
2019-02-28,tanger_tetouan_al_hoceima,35.77,-5.8,15.04,70.26,0.0,19.66,1.78,1.7,70.6,limoneux,tomate,maturité,600,1.36
2019-03-01,tanger_tetouan_al_hoceima,35.77,-5.8,14.7,84.77,0.0,16.71,2.95,0.56,56.8,argilo-limoneux,agrume,fructification,1000,0.39
2019-03-02,tanger_tetouan_al_hoceima,35.77,-5.8,14.61,87.18,0.02,16.14,2.94,0.8,26.4,sableux,vigne,maturité,400,0.34
2019-03-03,tanger_tetouan_al_hoceima,35.77,-5.8,15.85,76.83,0.0,19.4,1.65,1.7,59.1,calcaire,poivron,germination,550,1.02
2019-03-04,tanger_tetouan_al_hoceima,35.77,-5.8,15.22,86.21,0.08,18.05,3.26,1.34,18.0,argileux,tomate,floraison,600,1.46
2019-03-05,tanger_tetouan_al_hoceima,35.77,-5.8,15.8,91.45,0.17,17.07,2.13,0.54,72.6,argileux,agrume,floraison,1000,0.24
2019-03-06,tanger_tetouan_al_hoceima,35.77,-5.8,15.12,82.88,5.75,11.05,5.7,0.6,50.7,argileux,tomate,croissance,600,0.0
2019-03-07,tanger_tetouan_al_hoceima,35.77,-5.8,14.1,73.03,0.07,17.54,3.3,1.27,71.5,argileux,poivron,maturité,550,1.01
2019-03-08,tanger_tetouan_al_hoceima,35.77,-5.8,14.73,79.15,1.49,15.46,1.88,0.58,50.7,calcaire,vigne,débourrement,400,0.0
2019-03-09,tanger_tetouan_al_hoceima,35.77,-5.8,14.68,74.91,0.0,21.03,3.73,1.53,54.4,argilo-limoneux,vigne,repos,400,0.46
2019-03-10,tanger_tetouan_al_hoceima,35.77,-5.8,15.83,69.59,0.0,21.25,2.61,1.86,27.3,limoneux,vigne,floraison,400,1.58
2019-03-11,tanger_tetouan_al_hoceima,35.77,-5.8,17.94,64.55,0.0,21.44,1.35,2.42,38.7,limoneux,courgette,croissance,500,1.81
2019-03-12,tanger_tetouan_al_hoceima,35.77,-5.8,16.25,83.69,0.0,21.29,3.02,1.28,70.7,limoneux,courgette,maturité,500,1.02
2019-03-13,tanger_tetouan_al_hoceima,35.77,-5.8,15.18,79.8,0.0,19.8,3.22,1.32,52.3,argilo-limoneux,tomate,germination,600,0.79
2019-03-14,tanger_tetouan_al_hoceima,35.77,-5.8,15.2,82.38,0.0,19.65,4.47,1.03,47.3,argileux,vigne,repos,400,0.31
2019-03-15,tanger_tetouan_al_hoceima,35.77,-5.8,15.79,75.31,0.0,22.5,4.84,1.35,71.0,sableux,vigne,floraison,400,1.15
2019-03-16,tanger_tetouan_al_hoceima,35.77,-5.8,16.24,78.8,0.0,22.59,2.47,1.54,32.1,limoneux,tomate,croissance,600,1.16
2019-03-17,tanger_tetouan_al_hoceima,35.77,-5.8,16.31,75.18,0.0,21.8,2.57,1.78,74.0,calcaire,agrume,fructification,1000,1.25
2019-03-18,tanger_tetouan_al_hoceima,35.77,-5.8,15.44,79.13,0.05,20.47,3.09,1.1,33.0,calcaire,vigne,repos,400,0.28
2019-03-19,tanger_tetouan_al_hoceima,35.77,-5.8,15.98,76.79,0.05,21.05,3.08,1.25,21.9,limoneux,tomate,croissance,600,0.89
2019-03-20,tanger_tetouan_al_hoceima,35.77,-5.8,14.57,73.0,0.01,22.15,6.43,0.9,31.9,limoneux,tomate,croissance,600,0.67
2019-03-21,tanger_tetouan_al_hoceima,35.77,-5.8,14.24,68.14,0.13,19.77,7.37,0.78,56.2,sableux,poivron,floraison,550,0.69
2019-03-22,tanger_tetouan_al_hoceima,35.77,-5.8,14.82,72.73,0.0,18.96,7.76,0.75,69.3,limoneux,courgette,maturité,500,0.6
2019-03-23,tanger_tetouan_al_hoceima,35.77,-5.8,15.22,77.96,0.0,20.49,8.33,0.72,64.8,argilo-limoneux,tomate,germination,600,0.43
2019-03-24,tanger_tetouan_al_hoceima,35.77,-5.8,15.62,83.35,0.3,16.24,7.25,0.57,61.3,limoneux,tomate,germination,600,0.04
2019-03-25,tanger_tetouan_al_hoceima,35.77,-5.8,15.58,82.22,0.01,17.26,7.12,0.59,48.1,argilo-limoneux,courgette,croissance,500,0.43
2019-03-26,tanger_tetouan_al_hoceima,35.77,-5.8,15.72,71.18,0.06,12.5,9.11,0.51,19.5,argileux,agrume,repos,1000,0.32
